Task0a:
Color Moments:
Inherent dimensionality: 158


Task0b
Label: 0, Inherent Dimensionality: 76
Label: 1, Inherent Dimensionality: 73
Label: 2, Inherent Dimensionality: 40
Label: 3, Inherent Dimensionality: 54
Label: 4, Inherent Dimensionality: 20
Label: 5, Inherent Dimensionality: 60
Label: 6, Inherent Dimensionality: 14
Label: 7, Inherent Dimensionality: 14
Label: 8, Inherent Dimensionality: 14
Label: 9, Inherent Dimensionality: 17
Label: 10, Inherent Dimensionality: 14
Label: 11, Inherent Dimensionality: 13
Label: 12, Inherent Dimensionality: 36
Label: 13, Inherent Dimensionality: 29
Label: 14, Inherent Dimensionality: 14
Label: 15, Inherent Dimensionality: 26
Label: 16, Inherent Dimensionality: 25
Label: 17, Inherent Dimensionality: 17
Label: 18, Inherent Dimensionality: 14
Label: 19, Inherent Dimensionality: 34
Label: 20, Inherent Dimensionality: 14
Label: 21, Inherent Dimensionality: 20
Label: 22, Inherent Dimensionality: 20
Label: 23, Inherent Dimensionality: 26
Label: 24, Inherent Dimensionality: 15
Label: 25, Inherent Dimensionality: 23
Label: 26, Inherent Dimensionality: 24
Label: 27, Inherent Dimensionality: 20
Label: 28, Inherent Dimensionality: 16
Label: 29, Inherent Dimensionality: 16
Label: 30, Inherent Dimensionality: 18
Label: 31, Inherent Dimensionality: 23
Label: 32, Inherent Dimensionality: 12
Label: 33, Inherent Dimensionality: 18
Label: 34, Inherent Dimensionality: 19
Label: 35, Inherent Dimensionality: 24
Label: 36, Inherent Dimensionality: 21
Label: 37, Inherent Dimensionality: 19
Label: 38, Inherent Dimensionality: 21
Label: 39, Inherent Dimensionality: 26
Label: 40, Inherent Dimensionality: 20
Label: 41, Inherent Dimensionality: 21
Label: 42, Inherent Dimensionality: 15
Label: 43, Inherent Dimensionality: 11
Label: 44, Inherent Dimensionality: 11
Label: 45, Inherent Dimensionality: 18
Label: 46, Inherent Dimensionality: 27
Label: 47, Inherent Dimensionality: 28
Label: 48, Inherent Dimensionality: 15
Label: 49, Inherent Dimensionality: 19
Label: 50, Inherent Dimensionality: 27
Label: 51, Inherent Dimensionality: 24
Label: 52, Inherent Dimensionality: 12
Label: 53, Inherent Dimensionality: 22
Label: 54, Inherent Dimensionality: 29
Label: 55, Inherent Dimensionality: 28
Label: 56, Inherent Dimensionality: 20
Label: 57, Inherent Dimensionality: 26
Label: 58, Inherent Dimensionality: 26
Label: 59, Inherent Dimensionality: 15
Label: 60, Inherent Dimensionality: 24
Label: 61, Inherent Dimensionality: 15
Label: 62, Inherent Dimensionality: 13
Label: 63, Inherent Dimensionality: 18
Label: 64, Inherent Dimensionality: 9
Label: 65, Inherent Dimensionality: 23
Label: 66, Inherent Dimensionality: 18
Label: 67, Inherent Dimensionality: 10
Label: 68, Inherent Dimensionality: 14
Label: 69, Inherent Dimensionality: 16
Label: 70, Inherent Dimensionality: 12
Label: 71, Inherent Dimensionality: 13
Label: 72, Inherent Dimensionality: 16
Label: 73, Inherent Dimensionality: 12
Label: 74, Inherent Dimensionality: 16
Label: 75, Inherent Dimensionality: 23
Label: 76, Inherent Dimensionality: 18
Label: 77, Inherent Dimensionality: 17
Label: 78, Inherent Dimensionality: 14
Label: 79, Inherent Dimensionality: 18
Label: 80, Inherent Dimensionality: 12
Label: 81, Inherent Dimensionality: 21
Label: 82, Inherent Dimensionality: 18
Label: 83, Inherent Dimensionality: 14
Label: 84, Inherent Dimensionality: 20
Label: 85, Inherent Dimensionality: 14
Label: 86, Inherent Dimensionality: 26
Label: 87, Inherent Dimensionality: 17
Label: 88, Inherent Dimensionality: 13
Label: 89, Inherent Dimensionality: 11
Label: 90, Inherent Dimensionality: 31
Label: 91, Inherent Dimensionality: 14
Label: 92, Inherent Dimensionality: 22
Label: 93, Inherent Dimensionality: 23
Label: 94, Inherent Dimensionality: 51
Label: 95, Inherent Dimensionality: 12
Label: 96, Inherent Dimensionality: 19
Label: 97, Inherent Dimensionality: 12
Label: 98, Inherent Dimensionality: 17
Label: 99, Inherent Dimensionality: 11
Label: 100, Inherent Dimensionality: 18
